date,problem_0,problem_1,problem_2,server
2020-01-01,1,1,11,server_0
2020-01-02,1,1,3,server_0
2020-01-03,0,1,1,server_0
2020-01-04,1,1,0,server_0
2020-01-05,0,1,6,server_0
2020-01-06,1,1,1,server_0
2020-01-07,0,0,14,server_0
2020-01-08,0,0,6,server_0
2020-01-09,0,0,25,server_0
2020-01-10,0,0,0,server_0
2020-01-11,0,0,10,server_0
2020-01-12,1,0,2,server_0
2020-01-13,1,1,4,server_0
2020-01-14,0,1,16,server_0
2020-01-15,0,0,16,server_0
2020-01-16,0,1,1,server_0
2020-01-17,1,1,13,server_0
2020-01-18,0,1,6,server_0
2020-01-19,0,0,10,server_0
2020-01-20,1,1,15,server_0
2020-01-21,0,0,2,server_0
2020-01-22,1,1,13,server_0
2020-01-23,0,0,5,server_0
2020-01-24,0,0,10,server_0
2020-01-25,0,1,8,server_0
2020-01-26,1,1,14,server_0
2020-01-27,0,0,4,server_0
2020-01-28,0,0,9,server_0
2020-01-29,1,1,8,server_0
2020-01-30,0,1,3,server_0
2020-01-31,0,0,5,server_0
